,order_id,season,girl,su_id,order_type,bill_zip,adventurefuls,dosidos,lemonups,samoas,savannahs,smores,tagalongs,thinmints,toffeetastic,trefoils,donation,grand_total,Median_income_dollars
1063,202200537,2022,561360,622,Cookies In Hand,28213,0,0,0,1,0,0,0,1,0,0,0,2,"48,570"
1064,202024159,2020,77379,691,In-Person Delivery,28215,0,0,0,0,0,0,0,3,0,0,0,3,"51,236"
1065,202206201,2022,265360,643,Cookies In Hand,28270,0,0,0,1,0,0,0,4,0,0,0,5,"103,175"
1066,201919258,2019,11933,643,Donation,28277,0,0,0,0,0,0,0,0,0,0,1,1,
1067,202262059,2022,20813,634,Donation,28215,0,0,0,0,0,0,0,0,0,0,5,5,"51,236"
1068,202143734,2021,33597,638,In-Person Delivery,28270,0,1,1,0,0,0,0,1,0,0,0,3,"103,175"
1069,202259385,2022,22602,681,In-Person Delivery with Donation,28173,0,0,0,0,0,0,0,2,0,4,2,8,"130,705"
1070,202255493,2022,54141,634,In-Person Delivery,28217,2,0,0,0,0,0,0,0,0,0,0,2,"53,177"
1071,202135302,2021,26126,692,Shipped with Donation,27608,0,1,0,2,0,1,1,2,0,0,1,8,
1072,202118187,2021,21734,642,In-Person Delivery,29715,0,0,2,2,0,0,2,4,0,1,0,11,"86,378"
1074,202140162,2021,22499,632,In-Person Delivery,28208,0,1,0,0,0,1,0,0,1,1,0,4,"41,030"
1075,202001747,2020,13319,649,In-Person Delivery,10603,0,0,1,0,0,0,0,1,0,0,0,2,
1076,202000968,2020,10983,632,Cookies In Hand,28209,0,0,1,1,0,0,0,2,0,1,0,5,
1077,201911049,2019,24412,631,In-Person Delivery,28078,0,2,0,0,0,0,0,4,0,0,0,6,
1078,201916618,2019,62348,692,In-Person Delivery,29732,0,0,0,0,0,0,0,2,0,0,0,2,
1079,202103312,2021,289360,631,Shipped,28805,0,0,3,2,0,0,0,3,0,0,0,8,
1080,202142066,2021,93447,692,Donation,48439,0,0,0,0,0,0,0,0,0,0,10,10,
1081,202218046,2022,29360,649,Cookies In Hand,28270,0,0,0,1,0,0,1,0,0,0,0,2,"103,175"
1082,202120880,2021,28243,631,In-Person Delivery,28117,0,0,0,1,0,0,1,0,0,1,0,3,"92,518"
1083,201912238,2019,88915,638,In-Person Delivery,28081,0,0,0,1,0,0,0,0,0,1,0,2,
1084,202259078,2022,2088,683,In-Person Delivery,28173,0,2,0,0,0,0,0,4,0,0,0,6,"130,705"
1085,202222084,2022,26000,649,In-Person Delivery,28211,0,0,0,0,0,0,1,1,0,0,0,2,"93,236"
1086,202243386,2022,21219,632,In-Person Delivery,28213,1,0,0,0,0,2,2,1,0,0,0,6,"48,570"
1087,202250856,2022,11372,683,In-Person Delivery,28273,1,2,2,2,0,0,0,2,0,1,0,10,"72,986"
1088,201905392,2019,23944,632,Cookies In Hand,28269,0,0,0,0,1,0,2,2,0,0,0,5,
1089,202121207,2021,35716,631,Shipped,95993,0,0,0,3,0,0,1,1,0,0,0,5,
1090,202006834,2020,31964,642,In-Person Delivery,28269,0,0,0,0,0,0,0,3,0,0,0,3,
1091,202112660,2021,9544,651,Donation,27356,0,0,0,0,0,0,0,0,0,0,2,2,"45,694"
1092,202127729,2021,30959,632,In-Person Delivery,28216,0,0,0,1,0,0,0,0,0,1,0,2,"50,347"
1093,202203794,2022,82915,632,In-Person Delivery,28078,0,0,0,0,0,0,0,3,0,0,0,3,"101,752"
1094,202211229,2022,30117,642,In-Person Delivery,29732,0,1,1,0,0,0,0,1,0,0,0,3,"67,037"
1095,202007776,2020,35485,621,In-Person Delivery,28104,0,0,0,1,0,0,1,1,1,0,0,4,
