su_id,su_name
611,Anson
621,Trailblazers
622,CAB II
631,MECK 1
632,Pacesetters
634,Meck 4
637,Meck 7
638,Meck 8
642,Meck 12
643,Meck 13
649,Meck 19
651,Montgomery
661,Rowan
671,Stanly
681,Union 1
682,Union 2
683,Union 3
691,York 1
692,York 2
700,Council
